date,value
2013/1/1,0.82
2013/2/1,0.922222222
2013/3/4,0.95
2013/4/4,1.380555556
2013/5/5,1.475
2013/6/5,2.95
2013/7/6,3.425
2013/8/6,2.438888889
2013/9/6,3.044444444
2013/10/7,3.777777778
2013/11/7,3.019444444
2013/12/8,1.794444444
2014/1/8,0.616666667
2014/2/8,1.016666667
2014/3/11,0.991666667
2014/4/11,1.566666667
2014/5/12,2.277777778
2014/6/12,3.055555556
2014/7/13,3.505555556
2014/8/13,3.636111111
2014/9/13,3.733333333
2014/10/14,3.313888889
2014/11/14,2.633333333
2014/12/15,1.827777778
2015/1/15,1.191666667
2015/2/15,0.841666667
2015/3/18,1.041666667
2015/4/18,1.316666667
2015/5/19,2.466666667
2015/6/19,3.8
2015/7/20,4.225
2015/8/20,3.908333333
2015/9/20,2.9
2015/10/21,3.219444444
2015/11/21,2.616666667
2015/12/22,1.561111111
2016/1/22,1.055555556
2016/2/22,0.930555556
2016/3/24,1.058333333
2016/4/24,1.784848485
2016/5/25,3.505555556
2016/6/25,4.208333333
2016/7/26,4.15
2016/8/26,3.466666667
2016/9/26,4.063888889
2016/10/27,3.291666667
2016/11/27,2.680555556
2016/12/28,1.538888889
2017/1/28,0.819444444
2017/2/28,1.027777778
2017/3/31,1.466666667
2017/5/1,2.486111111
2017/6/1,3.919444444
2017/7/2,3.327777778
2017/8/2,3.705555556
2017/9/2,3.744444444
2017/10/3,3.45
2017/11/3,2.911111111
2017/12/4,2.438888889
2018/1/4,1.116666667
2018/2/4,1.047222222
2018/3/7,1.105555556
2018/4/7,1.691666667
2018/5/8,2.652777778
2018/6/8,3.638888889
2018/7/9,4.452777778
2018/8/9,4.075
2018/9/9,4.572222222
2018/10/10,3.736111111
2018/11/10,2.836111111
2018/12/11,2.147222222
2019/1/11,1.225
2019/2/11,1.161111111
2019/3/14,1.241666667
2019/4/14,1.594444444
2019/5/15,2.997222222
2019/6/15,4.255555556
2019/7/16,4.172222222
2019/8/16,3.333333333
2019/9/16,4.183333333
2019/10/17,3.463888889
2019/11/17,2.25
2019/12/18,1.694285714
2020/1/18,1.186111111
2020/2/18,1.2
2020/3/20,1.444117647
2020/4/20,1.172222222
2020/5/21,3.288888889
2020/6/21,3.969444444
2020/7/22,3.616666667
2020/8/22,4.183333333
2020/9/22,3.183333333
2020/10/23,2.444444444
2020/11/23,2.135714286
2020/12/24,1.752631579
2021/1/24,1.273076923
2021/2/24,1.147368421
2021/3/27,1.561111111
2021/4/27,1.905555556
2021/5/28,3.094444444
2021/6/28,3.188888889
2021/7/29,2.966666667
2021/8/29,3.355555556
2021/9/29,3.105555556
2021/10/30,3.016666667
2021/11/30,2.338888889
2021/12/31,1.638888889
2022/1/31,0.666666667
2022/3/3,1.194117647
2022/4/3,1.677777778
2022/5/4,1.91
2022/6/4,3.464705882
2022/7/5,3.722222222
2022/8/5,4.277777778
2022/9/5,3.769444444
2022/10/6,3.116666667
2022/11/6,3.219444444
2022/12/7,2.005555556
2023/1/7,0.691666667
